title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
백화점3-5일배송 폴로 가디건 걸즈 걸스 랄프로렌 꽈배기 블랙 화이트 핑크 헌터네이비XL,https://smartstore.naver.com/main/products/6672150068,https://shopping-phinf.pstatic.net/main_8421665/84216650390.13.jpg,64900,,나우인뉴욕,84216650390,2,폴로랄프로렌,폴로랄프로렌,패션의류,여성의류,카디건,
봄 가을 간절기 라운드 루즈핏 크롭 가디건 레드 그린 핑크 화이트 블랙 옐로우,https://smartstore.naver.com/main/products/5466947569,https://shopping-phinf.pstatic.net/main_8301144/83011442056.2.jpg,19900,,ARUMY,83011442056,2,,,패션의류,여성의류,카디건,
부드러운 캐시미어 크롭 가디건 숏 라운드 니트가디건 여성 가디건 봄 간절기 레드 핑크,https://smartstore.naver.com/main/products/4828155463,https://shopping-phinf.pstatic.net/main_8237267/82372678315.3.jpg,18900,,코이블리,82372678315,2,,,패션의류,여성의류,카디건,
[백화점3-5일배송] 폴로 가디건 니트 걸즈 랄프로렌 블랙 화이트 핑크 헌터네이비XL L,https://smartstore.naver.com/main/products/8450462001,https://shopping-phinf.pstatic.net/main_8599496/85994962324.3.jpg,63900,,트위티 155,85994962324,2,폴로랄프로렌,폴로랄프로렌,패션의류,여성의류,카디건,
[국내발송 + 선물포장] 폴로 랄프로렌 여아 아기 코튼 베이비 가디건 핑크 옐로우 화이트,https://smartstore.naver.com/main/products/9459545518,https://shopping-phinf.pstatic.net/main_8700404/87004045841.1.jpg,69000,,리틀데이즈,87004045841,2,폴로랄프로렌,폴로랄프로렌,출산/육아,유아동의류,카디건,
10COLOR 여성 봄 비비드컬러 라운드 슬릿넥 크롭 니트 그린 핑크가디건,https://smartstore.naver.com/main/products/9959540751,https://shopping-phinf.pstatic.net/main_8750404/87504043024.jpg,24900,,ARUMY,87504043024,2,,,패션의류,여성의류,카디건,
[백화점] 폴로 가디건 걸즈 케이블 꽈배기 니트,https://smartstore.naver.com/main/products/11107384300,https://shopping-phinf.pstatic.net/main_8865189/88651894622.2.jpg,69000,,세컨찬스라이프,88651894622,2,폴로랄프로렌,폴로랄프로렌,패션의류,여성의류,카디건,
꼼데가르송 기본와펜 가디건 여성용,https://smartstore.naver.com/main/products/4741606965,https://shopping-phinf.pstatic.net/main_8228612/82286128596.6.jpg,254390,,레이바쿠,82286128596,2,꼼데가르송,,패션의류,여성의류,카디건,
제너럴아이디어 WOMAN GNRL 에센셜 베이직 카디건 11COL WBD3L04503,https://search.shopping.naver.com/catalog/53287208769,https://shopping-phinf.pstatic.net/main_5328720/53287208769.20250302141747.jpg,32400,,네이버,53287208769,1,제너럴아이디어,제너럴아이디어,패션의류,여성의류,카디건,
메종키츠네 가디건 베이비폭스 폭스헤드 더블폭스 칠랙스 [당일출고],https://smartstore.naver.com/main/products/5302659122,https://shopping-phinf.pstatic.net/main_8284715/82847151528.5.jpg,267000,,브랜드리퍼블릭,82847151528,2,메종키츠네,메종키츠네,패션의류,여성의류,카디건,
